sg_uf;nm_operacao;dt_deflagracao;ano;sg_unidade;nr_mpp;nr_mpt;nr_flagrante
RN;UNLOCK;2018-08-28;2018;SR/PF/RN;0;0;0
AC;ÍCARO;2018-08-28;2018;SR/PF/AC;0;0;0
AL;MARGEM DO SÃO FRANCISCO;2018-08-28;2018;SR/PF/AL;0;0;0
PB;VOLTA POR BAIXO;2018-08-30;2018;SR/PF/PB;0;0;0
TO; NUDAE;2018-08-31;2018;SR/PF/TO;0;0;0
RJ;SOS;2018-08-31;2018;SR/PF/RJ;13;7;0
MG;ESTEIO;2018-09-05;2018;SR/PF/MG;0;0;0
RS;EFEITO COLATERAL III;2018-09-05;2018;SR/PF/RS;0;0;0
MS; VOSTOK;2018-09-12;2018;SR/PF/MS;0;13;1
UC;VOSTOK;2018-09-12;2018;DICOR/PF;0;14;0
RJ;VICIOS II - FASE 2;2018-09-14;2018;SR/PF/RJ;0;0;1
RN;GUARAÍRAS;2018-09-18;2018;SR/PF/RN;0;0;3
RN;TITEREIRO;2018-09-18;2018;SR/PF/RN;0;0;0
DF;REGISTRO ESPÚRIO - 4ª FASE;2018-09-18;2018;SR/PF/DF;0;9;0
PA;HOSPITATOR;2018-09-20;2018;SR/PF/PA;0;4;0
SC;PATRIARCADO;2018-09-20;2018;PF/XAP/SC;0;0;0
UC;INQ. 1236-DF/STJ;2018-09-21;2018;DICOR/PF;0;0;0
PA;ÁBACO;2018-09-25;2018;PF/SNM/PA;0;0;0
MA;PATRANHA;2018-09-25;2018;PF/ITZ/MA;0;0;0
PR; LAVA JATO - FASE 54 - CONEXÃO PORTUGAL;2018-09-25;2018;SR/PF/PR;0;0;0
PR; LAVA JATO - FASE 55 - INTEGRAÇÃO II;2018-09-26;2018;SR/PF/PR;3;16;1
GO;TRILHO - 5X;2018-09-26;2018;SR/PF/GO;0;0;0
MG;GHOST WRITER - FASE II DA EDITOR;2018-09-26;2018;PF/JFA/MG;0;0;0
RJ;CORAÇÃO LEVIANO;2018-09-26;2018;SR/PF/RJ;1;0;0
AC;HEFESTO SR/PF/AC;2018-09-27;2018;SR/PF/AC;4;3;0
AP;ARAUTO;2018-09-27;2018;SR/PF/AP;0;7;0
PB;RAIO X;2018-09-27;2018;PF/CGE/PB;0;0;0
UC;METANÓIA II;2018-09-27;2018;DICOR/PF;0;0;0
RS; LOCUS;2018-10-03;2018;PF/LIV/RS;0;0;0
AM;CASHBACK;2018-10-11;2018;SR/PF/AM;2;16;1
AM;HEMOSTASIA;2018-10-11;2018;SR/PF/AM;0;0;0
SP; NEREU;2018-10-16;2018;PF/JLS/SP;0;2;0
PA; FROTA DE BARRO;2018-10-16;2018;PF/MBA/PA;0;0;0
MA;PEIXE DE TOBIAS;2018-10-18;2018;SR/PF/MA;0;8;0
PR; LAVA JATO -  CONCESSUS;2018-10-22;2018;SR/PF/PR;0;0;0
DF;NIBELUNGO;2018-10-23;2018;SR/PF/DF;0;0;0
PB;IPL 460/2018 - SR/PF/PB;2018-10-23;2018;SR/PF/PB;0;0;2
PA; GRANDE SALTO;2018-10-25;2018;PF/MBA/PA;1;5;0
PA;PARTIALIS;2018-10-25;2018;PF/MBA/PA;4;4;0
DF;PONTO DE ENCONTRO;2018-10-31;2018;SR/PF/DF;0;0;0
SP;TRITÃO;2018-10-31;2018;SR/PF/SP;0;7;0
BA;A SOMBRA E A ESCURIDÃO;2018-11-06;2018;PF/ILS/BA;7;0;1
BA;ELYMAS MAGUS;2018-11-06;2018;PF/ILS/BA;6;0;0
RJ;FURNA DA ONÇA;2018-11-08;2018;SR/PF/RJ;15;19;0
UC;ARMISTÍCIO;2018-11-08;2018;DICOR/PF;0;0;0
PA;CARTA DE FORAL;2018-11-09;2018;SR/PF/PA;0;0;0
SE;ÁRION;2018-11-12;2018;NIP/SR/PF/SE;0;0;0
SP;CALLICHIRUS;2018-11-13;2018;PF/RPO/SP;2;2;0
RO;PEDÁGIO;2018-11-21;2018;PF/JPN/RO;10;0;0
CE; BRICOLAGEM;2018-11-21;2018;PF/JNE/CE;0;0;0
PB;RECIDIVA;2018-11-22;2018;PF/PAT/PB;9;8;0
PR; LAVA JATO - FASE 56 - SEM FUNDOS;2018-11-23;2018;SR/PF/PR;8;14;2
AL;PLAYGROUND NORDESTINO;2018-11-26;2018;SR/PF/AL;0;0;0
AL;SESMARIA ALAGOANA;2018-11-27;2018;SR/PF/AL;3;0;0
PE;SOLARIS;2018-11-28;2018;PF/SGO/PE;0;0;0
MA;HUBRIS;2018-11-29;2018;SR/PF/MA;0;0;2
RR;ESCURIDÃO;2018-11-29;2018;SR/PF/RR;11;0;0
RJ;BOCA DE LOBO;2018-11-29;2018;SR/PF/RJ;9;0;0
RR;TÂNTALO;2018-12-04;2018;SR/PF/RR;5;0;0
RS;EFEITO COLATERAL IV;2018-12-04;2018;SR/PF/RS;0;0;0
PR; LAVA JATO - FASE 57 - SEM LIMITES;2018-12-05;2018;SR/PF/PR;11;0;0
GO; CONFRARIA;2018-12-06;2018;SR/PF/GO;0;8;0
RJ;BOCA DE LOBO - FASE 2;2018-12-10;2018;SR/PF/RJ;0;0;1
PB; RECIDIVA ? SEGUNDA FASE;2018-12-11;2018;PF/PAT/PB;7;0;0
UC;ROSS;2018-12-11;2018;DICOR/PF;0;0;0
SP;TRATO FEITO;2018-12-13;2018;SR/PF/SP;2;0;1
AC;ÍCARO II;2018-12-13;2018;SR/PF/AC;0;0;0
AC;SARCOPHAGUM;2018-12-13;2018;SR/PF/AC;5;0;0
RR;ZARAGATA;2018-12-14;2018;SR/PF/RR;9;0;1
RN;LIBER PRETIOSA;2018-12-17;2018;SR/PF/RN;0;0;0
TO; NUDAE II;2018-12-19;2018;SR/PF/TO;1;0;0
PE;DEADLINE;2018-12-19;2018;SR/PF/PE;0;0;0
RJ;MBA`S - DELECOR RJ;2018-12-19;2018;SR/PF/RJ;0;0;0
UC;PET 8020;2018-12-19;2018;DICOR/PF;0;0;0
UC;ROSS - 2ª FASE;2018-12-20;2018;DICOR/PF;0;0;0
PR; CARNE FRACA - FASE II - ANTÍDOTO;2019-01-01;2019;SR/PF/PR;0;0;0
SC;349/2015;2019-01-23;2019;PF/JVE/SC;0;0;0
RS;DOIS CAMPOS;2019-01-23;2019;NIP/SR/PF/RS;0;0;0
RO;PEDÁGIO 2ª FASE;2019-01-23;2019;PF/JPN/RO;1;0;0
TO;DEJAVU;2019-01-24;2019;PF/AGA/TO;0;0;0
PR; LAVA JATO - FASE 58 - INTEGRAÇÃO III;2019-01-25;2019;SR/PF/PR;2;0;0
SP;PEDRA NO CAMINHO II;2019-01-30;2019;SR/PF/SP;0;0;0
PR; LAVA JATO - FASE 59 - QUINTO ANO;2019-01-31;2019;SR/PF/PR;3;0;0
AL;NARANDIBA;2019-02-05;2019;SR/PF/AL;0;0;0
MT;BLACKMAIL;2019-02-06;2019;PF/BRG/MT;0;0;0
SE;ACESSO NEGADO - CANINDÉ DO SÃO FRANCISCO - GAME OVER;2019-02-12;2019;SR/PF/SE;0;0;0
MS; PURIFICAÇÃO;2019-02-12;2019;PF/DRS/MS;0;1;0
AL;RETOMANDA;2019-02-13;2019;SR/PF/AL;0;0;0
CE;FRATURA EXPOSTA;2019-02-14;2019;SR/PF/CE;0;2;0
MS;APRENDIZ;2019-02-14;2019;SR/PF/MS;0;0;0
RJ;OP. LAVA JATO - REGIS FICHTNER;2019-02-15;2019;SR/PF/RJ;2;0;0
PE;FANTOCHES;2019-02-19;2019;SR/PF/PE;0;10;0
ES;SNACK ZERO;2019-02-19;2019;PF/CIT/ES;0;0;0
PR; LAVA JATO - FASE 60 - AD INFINITUM;2019-02-19;2019;SR/PF/PR;2;0;1
RN;TU QUOQUE BRUTE;2019-02-26;2019;PF/MOS/RN;1;0;0
RJ;CONSIGLIERE - FASE 2;2019-02-26;2019;SR/PF/RJ;0;0;0
PA;SALDO ZERO;2019-02-27;2019;SR/PF/PA;7;0;0
SP;CHECK OUT;2019-03-12;2019;SR/PF/SP;0;1;1
RO;DIARISTA;2019-03-12;2019;SR/PF/RO;0;0;0
MT;ONIPRESENTE;2019-03-13;2019;PF/CAE/MT;0;0;0
AL;BALDROCA;2019-03-13;2019;SR/PF/AL;0;0;0
PI; BOCA LIVRE - DELECOR/PI;2019-03-20;2019;SR/PF/PI;0;0;1
BA;KEPLER;2019-03-20;2019;SR/PF/BA;0;0;0
RJ;CAMBIO DESLIGO 2;2019-03-20;2019;SR/PF/RJ;2;1;0
RS;ALFORJE;2019-03-21;2019;SR/PF/RS;0;0;0
RJ;DESCONTAMINAÇÃO;2019-03-21;2019;SR/PF/RJ;8;2;1
PB;XEQUE-MATE III;2019-03-22;2019;SR/PF/PB;1;0;0
SP;HOME;2019-03-26;2019;PF/SOD/SP;0;4;0
PB; CAPTURA II;2019-03-26;2019;PF/CGE/PB;1;0;0
RN;TIRO;2019-03-28;2019;SR/PF/RN;1;0;0
GO; DECANTAÇÃO 2;2019-03-28;2019;SR/PF/GO;0;3;0
PE; PESCARIA II;2019-03-28;2019;PF/CRU/PE;8;0;0
RJ;AMIU;2019-04-02;2019;SR/PF/RJ;0;0;0
SE;ACESSO NEGADO - FREI PAULO;2019-04-04;2019;SR/PF/SE;0;0;0
SE;ACESSO NEGADO - POÇO REDONDO;2019-04-04;2019;SR/PF/SE;0;0;0
SE;ACESSO NEGADO - MACAMBIRA;2019-04-04;2019;SR/PF/SE;0;0;0
GO; DECANTAÇÃO 3;2019-04-04;2019;SR/PF/GO;0;3;0
CE;AFIUSAS;2019-04-05;2019;SR/PF/CE;0;6;0
RO;FEUDO;2019-04-10;2019;PF/JPN/RO;5;4;0
BA;INFINITA HIGHWAY;2019-04-11;2019;SR/PF/BA;0;0;0
SP;E O VENTO LEVOU;2019-04-11;2019;SR/PF/SP;0;0;0
GO;INFINITA HIGHWAY;2019-04-11;2019;SR/PF/GO;0;0;0
